Job ID,Company,Job Title,Level,Location,Employment Type,Job Function,Industries,Job Description,Posting Language,Working Language
3712886879,SOL ☀,Postinjakaja Isojoelle,Entry level,"Isojoki, South Ostrobothnia, Finland",Full-time,Management and Manufacturing,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3712886879,Finnish,Finnish
3683899491,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3683899491,Finnish,Finnish
3715356778,Partioaitta,"Myyjä, 30h/vko, Tampereen alue, määräaikainen sopimus",Mid-Senior level,"Tampere, Pirkanmaa, Finland",Full-time,Sales and Business Development,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3715356778,Finnish,
3695411312,Jyväskylän Autotarvike -konserni,Electric car mechanic,"Employment type
        

          Full-time","Jyväskylä, Central Finland, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3695411312,,
3691884658,Nigel Frank International,Open Application,Mid-Senior level,"Uusimaa, South Ostrobothnia, Finland",Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3691884658,English,
3701071990,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3701071990,English,
3693367416,HT Recruit,Architect,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,"Design, Art/Creative, and Information Technology",Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3693367416,English,
3692542080,SOL ☀,Osa-aikainen siivooja,Entry level,"Iisalmi, Northern Savonia, Finland",Full-time,Management and Manufacturing,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3692542080,Finnish,
3669606534,RateHawk,Sales Manager Nordics,Mid-Senior level,"Turku, Southwest Finland, Finland",Full-time,Sales and Business Development,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3669606534,English,English
3705704584,Fazer,"Leipuri ja leipomotyöntekijä Fazer myymäläleipomoon, S-Market Näsi Porvoo",Entry level,"Porvoo, Uusimaa, Finland",Full-time,Management and Manufacturing,Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3705704584,Finnish,Finnish
3706646665,ICEYE,Mission Assurance Lead - Finland,Entry level,"Espoo, Uusimaa, Finland",Full-time,Accounting/Auditing and Finance,Defense and Space Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706646665,English,"English, Finnish"
3708911753,ewi recruitment,Quality Inspector - Wind,Mid-Senior level,Helsinki Metropolitan Area,Full-time,Quality Assurance,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3708911753,English,English
3683723401,Hitachi Energy,Mechanical Lead Engineer,Mid-Senior level,"Vaasa, Ostrobothnia, Finland",Full-time,Management and Manufacturing,"IT Services and IT Consulting and Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3683723401,English,"English, Finnish"
3684302995,Canonical,Social Media Marketing Specialist,Entry level,"Helsinki, Uusimaa, Finland",Full-time,Marketing and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3684302995,English,
3704590484,Tunement,Video Manager,"Employment type
        

          Contract",Finland,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3704590484,Finnish,
3670771862,AB Agri,Business Operations Manager - Finland,Mid-Senior level,Finland,Full-time,Management and Manufacturing,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3670771862,English,"English, Finnish"
3711705246,SOL ☀,Puhdastilasiivooja,Not Applicable,"Kuopio, Northern Savonia, Finland",Full-time,Other,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711705246,Finnish,"English, Finnish"
3708571807,Kesko - K-Group,Myyjä (30 h/vko) K-Citymarket Turku Kupittaa,Not Applicable,"Turku, Southwest Finland, Finland",Part-time,Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3708571807,Finnish,Finnish
3642302624,Cobblestone Energy,"JUNIOR DEVELOPER - Dubai, UAE",Entry level,"Helsinki, Uusimaa, Finland",Full-time,Engineering and Information Technology,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3642302624,English,
3705329831,Mehiläinen,Kätilö,Entry level,Helsinki Metropolitan Area,Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3705329831,Finnish,
3677558953,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3677558953,Finnish,
3703605419,RELEX Solutions,SVP Strategy and Corporate Development,Not Applicable,Finland,Full-time,Business Development and Sales,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703605419,English,
3711879346,Werner Söderström Osakeyhtiö,Brand Manager,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Marketing and Sales,Book and Periodical Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711879346,Finnish,
3322925236,McKinsey & Company,Consultant - Service Operations,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,"Consulting, Customer Service, and Project Management","Banking, Insurance, and Business Consulting and Services",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3322925236,English,English
3713820854,Kesko - K-Group,Myyjä (30 h/vko) K-Citymarket Turku Ravattula,Not Applicable,"Turku, Southwest Finland, Finland",Part-time,Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3713820854,Finnish,Finnish
3695982778,Midagon Finland,Transformation Program Director / Project Manager,Mid-Senior level,"Uusimaa, Finland",Full-time,"Consulting, Project Management, and Information Technology",Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3695982778,English,"English, Finnish"
3707500731,Mehiläinen,"Ohjaaja (lähihoitaja), Ykköskoti Lotta, Tuusula",Mid-Senior level,"Tuusula, Uusimaa, Finland",Full-time,Education and Training,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3707500731,Finnish,
3705751741,Biisoni,"Massamestari, MSK Plast Oy",Not Applicable,"Kauhava, South Ostrobothnia, Finland",Other,Other,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3705751741,Finnish,Finnish
3647273151,Jefferson Frank,QA Engineer,Entry level,"Helsinki, Uusimaa, Finland",Contract,Engineering and Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3647273151,English,
3709352141,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3709352141,English,
3702503630,Kesko - K-Group,"HRIS Manager, K Group",Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Human Resources,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3702503630,English,"English, Finnish"
3712858325,KIKI'S Home Box,Sales And Marketing Intern,"Employment type
        

          Internship",Finland,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3712858325,English,"English, Finnish"
3707236565,inlumi,Lead Consultant,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,"Consulting, Information Technology, and Sales",Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3707236565,English,
3711879383,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711879383,English,
3706599640,Etelä-Karjalan hyvinvointialue - Wellbeing services county of South Karelia,"Sairaanhoitajat (2), Kotihoito Rautjärvi",Entry level,"Simpele, South Karelia, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706599640,Finnish,
3711525081,Kesko - K-Group,Myyjä (30 h/vko) K-Citymarket Turku Ravattula,Not Applicable,"Turku, Southwest Finland, Finland",Part-time,Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711525081,Finnish,Finnish
3664570585,Hedera Dx,Software Engineer,Entry level,"Helsinki, Uusimaa, Finland",Full-time,Engineering and Information Technology,Biotechnology Research,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664570585,English,
3687379169,FRG Technology Consulting,Front End Developer - Product House,Entry level,"Helsinki, Uusimaa, Finland",Contract,Engineering and Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3687379169,English,"English, Finnish"
3707152610,London Drugs,Sales Service Cashier,Entry level,"Helsinki, Uusimaa, Finland",Other,Other,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3707152610,English,
3688169708,Fazer,"Työturvallisuusasiantuntija (Safety Specialist), Fazer Makeiset",Entry level,"Vantaa, Uusimaa, Finland",Full-time,Management and Manufacturing,Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3688169708,Finnish,"English, Finnish"
3675320560,Nigel Frank International,Open Application - Data / BI professionals - Finland,Mid-Senior level,Finland,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3675320560,English,
3609891060,Westernacher Consulting,SAP (Senior) Project Manager,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Project Management and Information Technology,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3609891060,English,"English, Finnish"
3697334516,SOL ☀,CNC-jyrsijä,Director,"Imatra, South Karelia, Finland",Full-time,Accounting/Auditing and Finance,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3697334516,Finnish,
3710105844,Humana Suomi,"Ohjaaja (AMK), Humana Avopalvelut Päijät-Häme",Mid-Senior level,"Lahti, Päijät-Häme, Finland",Full-time,Education and Training,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3710105844,Finnish,
3702315252,EMU Growth Partners,Chief Accountant,"Employment type
        

          Full-time",Helsinki Metropolitan Area,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3702315252,Finnish,
3694958849,AVATEC Marine,Area Sales Manager,"Employment type
        

          Full-time","Helsinki, Uusimaa, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3694958849,English,
3701487876,Espoon kaupunki - Esbo stad - City of Espoo,"Lärare inom småbarnspedagogik, Karamalmens daghem och förskola",Entry level,"Espoo, Uusimaa, Finland",Full-time,Education and Training,Government Administration,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3701487876,,
3693949191,Me-säätiö | We Foundation,Head of Communications and Community,"Employment type
        

          Full-time","Helsinki, Uusimaa, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3693949191,English,"English, Finnish"
3590347016,Columbia Road,Senior Web Analytics Consultant - Helsinki,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Marketing and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3590347016,English,"English, Finnish"
3713878293,Nortal,Interim Head of Global Marketing,Mid-Senior level,Finland,Full-time,Marketing and Sales,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3713878293,English,
3710112022,Aimo Sweden,Pysäköinninvalvoja - TURKU,Not Applicable,"Turku, Southwest Finland, Finland",Full-time,Other,Consumer Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3710112022,Finnish,Finnish
3684735257,Gradfuel,Apparel Design & Digital Product Development Internship - Leading Fashion Brand,Entry level,"Otaniemi, Uusimaa, Finland",Internship,Design,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3684735257,English,English
3701946651,CBRE,"Analyst, Capital Markets",Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Marketing and Sales,Real Estate,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3701946651,English,"English, Finnish"
3703089442,Severalnines,Product Marketing Manager,Director,"Helsinki, Uusimaa, Finland",Full-time,Marketing,Advertising Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703089442,English,English
3690719527,Compass Group Finland,"Dieettikokki, bonuksena 1000 €",Not Applicable,"Janakkala, Tavastia Proper, Finland",Full-time,Other,Food and Beverage Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3690719527,Finnish,Finnish
3707597108,Canonical,Accounts Receivable Clerk (Entry Level Opportunity),Entry level,"Helsinki, Uusimaa, Finland",Full-time,Accounting/Auditing and Finance,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3707597108,English,
3710112054,Synsam Group Finland Oy,Osa-aikainen myyjä/optikko-opiskelija Synsam Goodman -liikkeeseen Hämeenlinnaan!,Mid-Senior level,"Hämeenlinna, Tavastia Proper, Finland",Full-time,Sales and Business Development,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3710112054,Finnish,"English, Finnish"
3704840505,Biisoni,"R&D engineer, Murrelektronik",Not Applicable,"Lahti, Päijät-Häme, Finland",Other,Engineering and Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3704840505,English,English
3684720959,Sokotel Oy,"Vuoromestari, Radisson Blu Hotel Oulu",Not Applicable,"Oulu, North Ostrobothnia, Finland",Full-time,Management and Manufacturing,"Restaurants, Travel Arrangements, and Hospitality",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3684720959,Finnish,
3708932422,Qasvu,Junior Python / QT Developer for Aito Interactive Oy,Not Applicable,"Helsinki, Uusimaa, Finland",Other,Engineering and Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3708932422,English,English
3700218187,Yara International,Country Category Manager,"Employment type
        

          Full-time","Siilinjärvi, Northern Savonia, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3700218187,Finnish,"English, Finnish"
3641776461,Cobblestone Energy,"GAS SPOT TRADER - Dubai, UAE",Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Finance and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3641776461,English,
3714275677,The Hotel Maria,"Food runner / Saliapulainen, The Hotel Maria, 2 full time and 1 part time",Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Other,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3714275677,English,"English, Finnish"
3675595102,BCD Travel,Travel Agent (Remote),Not Applicable,Finland,Full-time,Management and Manufacturing,Travel Arrangements,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3675595102,English,"English, Finnish"
3708930404,Lapland Hotels,"Tarjoilija, Lapland Hotels, Oulu",Entry level,"Oulu, North Ostrobothnia, Finland",Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3708930404,Finnish,
3698159972,Columbia Road,CRM and Marketing Automation Consultant (graduate) - Tampere,Mid-Senior level,"Tampere, Pirkanmaa, Finland",Full-time,Other,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3698159972,English,"English, Finnish"
3664540007,JP työnvuokraus Oy,Welder (many areas in Finland),Entry level,"Turku, Southwest Finland, Finland",Contract,Management and Manufacturing,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664540007,English,"English, Finnish"
3647648105,Varjo,Technical Program Manager,Mid-Senior level,Finland,Full-time,Project Management and Information Technology,Computer Hardware,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3647648105,English,"English, Finnish"
3712895338,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3712895338,English,"English, Finnish"
3706511726,Codento Oy,Open Application,Mid-Senior level,Helsinki Metropolitan Area,Full-time,"Engineering, Information Technology, and Consulting",Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706511726,English,
3712029038,HUS Helsingin yliopistollinen sairaala,Osastonsihteeri,Entry level,"Helsinki, Uusimaa, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3712029038,Finnish,
3705655663,Lapland Hotels,"Ravintolakokki, Lapland Hotels Oulu",Mid-Senior level,"Oulu, North Ostrobothnia, Finland",Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3705655663,Finnish,"English, Finnish"
3701170546,Nokian Tyres plc,AR Accountant / Credit Controller,Associate,"Nokia, Pirkanmaa, Finland",Temporary,Accounting/Auditing and Finance,Motor Vehicle Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3701170546,English,English
3702473077,Gradfuel,Apparel Product Design - Fashion Internship - World Leading Sports Brand,Entry level,"Otaniemi, Uusimaa, Finland",Internship,Design,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3702473077,English,English
3687842166,Verimatrix,Product Owner - Cybersecurity,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Product Management and Marketing,Internet Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3687842166,English,English
3590271352,BNP Paribas CIB,BNP Paribas CIB : Open application - Finland,Mid-Senior level,Helsinki Metropolitan Area,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3590271352,English,
3709991304,ASK Scandinavia,Director of Sales and Growth,"Employment type
        

          Part-time",Finland,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3709991304,English,English
3710685580,SOL ☀,Kiertävä siivooja,Entry level,"Kotka, Kymenlaakso, Finland",Full-time,Management and Manufacturing,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3710685580,Finnish,
3684309395,VertaaEnsin.fi,Managing Director of Travel Insurance - VertaaEnsin,Executive,"Helsinki, Uusimaa, Finland",Full-time,Business Development and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3684309395,English,"English, Finnish"
3711959446,Kesko - K-Group,"Myymäläpäällikkö, Budget Sport Espoo Merituuli",Associate,"Espoo, Uusimaa, Finland",Full-time,Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711959446,Finnish,Finnish
3681116570,Tamatem Games,Head of User Acquisition & Ad Monetization,Director,"Helsinki, Uusimaa, Finland",Full-time,Marketing,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3681116570,English,
3666532763,Cobblestone Energy,"JUNIOR ANALYST - Dubai, UAE",Entry level,"Helsinki, Uusimaa, Finland",Full-time,Business Development and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3666532763,English,
3710011809,Plugit Finland,Senior Quality Manager,Mid-Senior level,"Pirkkala, Pirkanmaa, Finland",Full-time,Quality Assurance,Facilities Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3710011809,English,"English, Finnish"
3708889506,ATI-Teräs Oy,Production Supervisor,"Employment type
        

          Full-time","Forssa, Tavastia Proper, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3708889506,English,"English, Finnish"
3666532772,Cobblestone Energy,"JUNIOR ANALYST - Dubai, UAE",Entry level,"Espoo, Uusimaa, Finland",Full-time,Business Development and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3666532772,English,
3711093156,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711093156,English,
3696865702,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3696865702,English,
3693037990,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3693037990,English,
3689683366,Acolad group,Romanian trainer,Mid-Senior level,"Tampere, Pirkanmaa, Finland",Part-time,Training,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3689683366,English,"English, Finnish"
3664568748,P2X Solutions Oy,Open application,Mid-Senior level,"Espoo, Uusimaa, Finland",Full-time,Information Technology,Oil and Gas,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664568748,English,
3703298478,Paradox Institute,Brand Designer (Full Remote - FR & EN fluent),Entry level,"Helsinki, Uusimaa, Finland",Contract,"Design, Art/Creative, and Information Technology",Education,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703298478,English,English
3709331887,HUS Helsingin yliopistollinen sairaala,Osastonsihteeri,Entry level,"Espoo, Uusimaa, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3709331887,Finnish,
3715158451,Silmäasema,"Optikko / optometristi, Silmäasema Forssa",Entry level,"Loimaa, Southwest Finland, Finland",Full-time,Health Care Provider,Consumer Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3715158451,Finnish,
3693312436,Hyperion Robotics,R&D Operations Manager,Associate,"Espoo, Uusimaa, Finland",Full-time,Management,"IT Services and IT Consulting, Construction, and Wholesale Building Materials",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3693312436,English,English
3706415542,Luhta Sportswear Company,Content Marketing Manager,Mid-Senior level,"Lahti, Päijät-Häme, Finland",Full-time,Marketing and Sales,Retail Apparel and Fashion,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706415542,Finnish,
3713372612,Into City Prep,Investment Banking Internship - Helsinki,Internship,"Helsinki, Uusimaa, Finland",Internship,Finance and Sales,Internet Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3713372612,English,
3649831365,Nigel Frank International,IT DIRECTOR,Director,"Helsinki, Uusimaa, Finland",Contract,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3649831365,English,"English, Finnish"
3706415559,Synsam Group Finland Oy,Optikko/optometristi Synsam Uusikaupunki -liikkeeseen,Entry level,"Uusikaupunki, Southwest Finland, Finland",Full-time,Health Care Provider,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706415559,Finnish,"English, Finnish"
3696673224,Paradox Institute,Web Designer (Remote Portugal - FR & EN fluent),Entry level,"Helsinki, Uusimaa, Finland",Full-time,"Design, Art/Creative, and Information Technology",Education,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3696673224,English,English
3703108043,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703108043,English,English
3704025555,,,,,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3704025555,English,English
3714531796,Linde,Cylinder Operator,Entry level,"Riihimäki, Päijät-Häme, Finland",Full-time,Management and Manufacturing,Chemical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3714531796,English,"English, Finnish"
3706511828,Mehiläinen,"Ohjaaja (lähihoitaja), Ykköskoti Noste, Kuopio",Mid-Senior level,"Kuopio, Northern Savonia, Finland",Full-time,Education and Training,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706511828,Finnish,
3707503064,Mehiläinen,"Sairaanhoitaja kotihoitoon Helsingin ruotsinkielisten yksikköön, Mehiläinen kotihoito",Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3707503064,Finnish,
